sido,sigungu,car_type,car_purpose,year,month,value
서울,양천구,승합,영업용,2025,05,733
서울,양천구,승합,계,2025,05,"3,666"
서울,양천구,화물,관용,2025,05,145
서울,양천구,화물,자가용,2025,05,"10,702"
서울,양천구,화물,영업용,2025,05,"2,931"
서울,양천구,화물,계,2025,05,"13,778"
서울,양천구,특수,관용,2025,05,8
서울,양천구,특수,자가용,2025,05,279
서울,양천구,특수,영업용,2025,05,437
서울,양천구,특수,계,2025,05,724
서울,양천구,총계,관용,2025,05,347
서울,양천구,총계,자가용,2025,05,"140,599"
서울,양천구,총계,영업용,2025,05,"8,909"
서울,양천구,총계,계,2025,05,"149,855"
서울,영등포구,승용,관용,2025,05,131
서울,영등포구,승용,자가용,2025,05,"118,172"
서울,영등포구,승용,영업용,2025,05,"2,743"
서울,영등포구,승용,계,2025,05,"121,046"
서울,영등포구,승합,관용,2025,05,61
서울,영등포구,승합,자가용,2025,05,"3,414"
서울,영등포구,승합,영업용,2025,05,190
서울,영등포구,승합,계,2025,05,"3,665"
서울,영등포구,화물,관용,2025,05,174
서울,영등포구,화물,자가용,2025,05,"12,648"
서울,영등포구,화물,영업용,2025,05,"4,406"
서울,영등포구,화물,계,2025,05,"17,228"
서울,영등포구,특수,관용,2025,05,17
서울,영등포구,특수,자가용,2025,05,496
서울,영등포구,특수,영업용,2025,05,607
서울,영등포구,특수,계,2025,05,"1,120"
서울,영등포구,총계,관용,2025,05,383
서울,영등포구,총계,자가용,2025,05,"134,730"
서울,영등포구,총계,영업용,2025,05,"7,946"
서울,영등포구,총계,계,2025,05,"143,059"
서울,용산구,승용,관용,2025,05,262
서울,용산구,승용,자가용,2025,05,"63,457"
서울,용산구,승용,영업용,2025,05,"1,120"
서울,용산구,승용,계,2025,05,"64,839"
서울,용산구,승합,관용,2025,05,125
서울,용산구,승합,자가용,2025,05,"1,696"
서울,용산구,승합,영업용,2025,05,77
서울,용산구,승합,계,2025,05,"1,898"
서울,용산구,화물,관용,2025,05,150
서울,용산구,화물,자가용,2025,05,"4,881"
서울,용산구,화물,영업용,2025,05,"1,053"
서울,용산구,화물,계,2025,05,"6,084"
서울,용산구,특수,관용,2025,05,13
서울,용산구,특수,자가용,2025,05,155
서울,용산구,특수,영업용,2025,05,31
서울,용산구,특수,계,2025,05,199
서울,용산구,총계,관용,2025,05,550
서울,용산구,총계,자가용,2025,05,"70,189"
서울,용산구,총계,영업용,2025,05,"2,281"
서울,용산구,총계,계,2025,05,"73,020"
서울,은평구,승용,관용,2025,05,100
서울,은평구,승용,자가용,2025,05,"113,746"
서울,은평구,승용,영업용,2025,05,"4,139"
서울,은평구,승용,계,2025,05,"117,985"
서울,은평구,승합,관용,2025,05,46
서울,은평구,승합,자가용,2025,05,"2,753"
서울,은평구,승합,영업용,2025,05,755
서울,은평구,승합,계,2025,05,"3,554"
서울,은평구,화물,관용,2025,05,143
서울,은평구,화물,자가용,2025,05,"9,643"
서울,은평구,화물,영업용,2025,05,"2,024"
서울,은평구,화물,계,2025,05,"11,810"
서울,은평구,특수,관용,2025,05,16
서울,은평구,특수,자가용,2025,05,201
서울,은평구,특수,영업용,2025,05,182
서울,은평구,특수,계,2025,05,399
서울,은평구,총계,관용,2025,05,305
